category,name,sku,price,unit,url,image
Simpson Strong Ties,"2-1/2"" X 11-7/8"" Face Mount I-Joist Hanger",IUS2.56/11.88,3.57,/each,https://slacklumber.ca/p/2-12-x-11-78-face-mount-i-joist-hanger/IUS2.56%2F11.88,https://ik.imagekit.io/toolbx/1761332722203
Simpson Strong Ties,"2-1/2"" X 14"" Face Mount I-Joist Hanger",IUS2.56/14,4.29,/each,https://slacklumber.ca/p/2-12-x-14-face-mount-i-joist-hanger/IUS2.56%2F14,https://ik.imagekit.io/toolbx/1761332753662
Simpson Strong Ties,"3-1/2"" X 9-1/2"" Face Mount I-Joist Hanger",IUS3.56/9.5,3.83,/each,https://slacklumber.ca/p/3-12-x-9-12-face-mount-i-joist-hanger/IUS3.56%2F9.5,https://ik.imagekit.io/toolbx/1761332891712
Simpson Strong Ties,"3-1/2"" X 11-7/8"" Face Mount I-Joist Hanger",IUS3.56/11.88,5.98,/each,https://slacklumber.ca/p/3-12-x-11-78-face-mount-i-joist-hanger/IUS3.56%2F11.88,https://ik.imagekit.io/toolbx/1761332834722
Simpson Strong Ties,"3-1/2"" X 14"" Face Mount I-Joist Hanger",IUS3.56/14,8.20,/each,https://slacklumber.ca/p/3-12-x-14-face-mount-i-joist-hanger/IUS3.56%2F14,https://ik.imagekit.io/toolbx/1761332860659
Simpson Strong Ties,L Shaped Strap 66L,2591386,6.99,/each,https://slacklumber.ca/p/l-shaped-strap-66l/2591386,https://ik.imagekit.io/toolbx/1761324899162
Simpson Strong Ties,High-Strength Hybrid Acrylic Adhesive 9.5oz,AT3G10,26.50,/each,https://slacklumber.ca/p/high-strength-hybrid-acrylic-adhesive-95oz/AT3G10,https://ik.imagekit.io/toolbx/1761321391984
Simpson Strong Ties,Brick Tie 1x7,BTB,0.35,/each,https://slacklumber.ca/p/brick-tie-1x7/BTB,https://ik.imagekit.io/toolbx/1761320171581
Simpson Strong Ties,Deck Post Tie 2x4,DPT5C,3.99,/each,https://slacklumber.ca/p/deck-post-tie-2x4/DPT5C,https://ik.imagekit.io/toolbx/1761321161406
Simpson Strong Ties,Knee Brace Stabilizer,KBS1Z,3.79,/each,https://slacklumber.ca/p/knee-brace-stabilizer/KBS1Z,https://ik.imagekit.io/toolbx/1761320558806
Simpson Strong Ties,Mending Plate 1x4,MP14,0.99,/each,https://slacklumber.ca/p/mending-plate-1x4/MP14,https://ik.imagekit.io/toolbx/1761319766240
Simpson Strong Ties,Mending Plate 2x4,MP24,0.99,/each,https://slacklumber.ca/p/mending-plate-2x4/MP24,https://ik.imagekit.io/toolbx/1761319796623
Simpson Strong Ties,Mending Plate 3x6,MP36,1.99,/each,https://slacklumber.ca/p/mending-plate-3x6/MP36,https://ik.imagekit.io/toolbx/1761319827222
Simpson Strong Ties,Tie Plate 1x5,TP15,1.99,/each,https://slacklumber.ca/p/tie-plate-1x5/TP15,https://ik.imagekit.io/toolbx/1761320014416
Simpson Strong Ties,Tie Plate 3x5,TP35,2.08,/each,https://slacklumber.ca/p/tie-plate-3x5/TP35,https://ik.imagekit.io/toolbx/1761320049288
Simpson Strong Ties,Tie Plate 3x7,TP37,2.49,/each,https://slacklumber.ca/p/tie-plate-3x7/TP37,https://ik.imagekit.io/toolbx/1761320076819
Simpson Strong Ties,A Angle 2x1,A21Z,0.99,/each,https://slacklumber.ca/p/a-angle-2x1/A21Z,https://ik.imagekit.io/toolbx/1761319517917
Simpson Strong Ties,A Angle 2x3,A23Z,1.69,/each,https://slacklumber.ca/p/a-angle-2x3/A23Z,https://ik.imagekit.io/toolbx/1761319475485
Simpson Strong Ties,A Angle 6x6,A66,8.89,/each,https://slacklumber.ca/p/a-angle-6x6/A66,https://ik.imagekit.io/toolbx/1761319424516
Simpson Strong Ties,2x4 Angle,ML24Z,6.99,/each,https://slacklumber.ca/p/2x4-angle/ML24Z,https://ik.imagekit.io/toolbx/p_1691212483188_9abd8eaf-23e1-4370-9f64-cad9465f3b37_ML24Z.jpg
Simpson Strong Ties,2x6 Angle,ML26Z,9.99,/each,https://slacklumber.ca/p/2x6-angle/ML26Z,https://ik.imagekit.io/toolbx/p_1691212487983_668be788-80fc-4fa9-a671-c345a34acb4e_ML26Z.jpg
Simpson Strong Ties,"Skewable L Angle 5""",LS50Z,4.99,/each,https://slacklumber.ca/p/skewable-l-angle-5/LS50Z,https://ik.imagekit.io/toolbx/1761320659338
