vendor,category,name,sku,flag,price,unit,url,image,brand,scraped_time,price_2026_01_06,unit_2026_01_06,status_2026_01_06,price_2026_01_08,unit_2026_01_08,status_2026_01_08,price_2026_01_07,unit_2026_01_07,status_2026_01_07,flagged_time,price_2026_01_10,unit_2026_01_10,status_2026_01_10
New Canadians Lumber,Lumber,"4x8x3/4"" Square Cedar Lattice - Custom Order",CL4834S,False,$136.00,/each,https://shop.newcanadianslumber.com/p/4x8x34-square-cedar-lattice-custom-order/CL4834S,https://ik.imagekit.io/toolbx/ecommerce/NCL/CL4834S.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,2x8x18' Premium SPF,S2818,False,$34.99,/each,https://shop.newcanadianslumber.com/p/2x8x18-premium-spf/S2818,https://ik.imagekit.io/toolbx/1574103561860,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,5/4x6x8' PT,PT168DB,False,$9.59,/each,https://shop.newcanadianslumber.com/p/54x6x8-pt/PT168DB,https://ik.imagekit.io/toolbx/src-img/196482350772,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,"4x8x1"" PT Square Privacy Lattice - Custom Order",PL481SQ,False,$155.00,/each,https://shop.newcanadianslumber.com/p/4x8x1-pt-square-privacy-lattice-custom-order/PL481SQ,https://ik.imagekit.io/toolbx/ecommerce/NCL/PL481SQ.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,"1x8x1"" Square Cedar Lattice - Custom Order",CL181S,False,$58.00,/each,https://shop.newcanadianslumber.com/p/1x8x1-square-cedar-lattice-custom-order/CL181S,https://ik.imagekit.io/toolbx/ecommerce/NCL/CL181S.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,LVL Beam 11-7/8x16',LVL117816,False,$146.95,/each,https://shop.newcanadianslumber.com/p/lvl-beam-11-78x16/LVL117816,https://ik.imagekit.io/toolbx/demo/catalog-images/toolbxLVL_2-198d84580f2.png,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,4x4x6' Special P.T.L Post,PT446,False,$13.80,/each,https://shop.newcanadianslumber.com/p/4x4x6-special-ptl-post/PT446,https://ik.imagekit.io/toolbx/p_1606681187710_021e45db-7584-4d8d-bf83-6ed2dee9cf17.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,LVL Beam 11-7/8x14',LVL117814,False,$128.95,/each,https://shop.newcanadianslumber.com/p/lvl-beam-11-78x14/LVL117814,https://ik.imagekit.io/toolbx/demo/catalog-images/toolbxLVL_2-198d84580f2.png,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,"2"" X 6"" X 10' TIMBERSTRAND LSL 1.55",TS2610,False,$48.95,/each,https://shop.newcanadianslumber.com/p/2-x-6-x-10-timberstrand-lsl-155/TS2610,https://ik.imagekit.io/toolbx/demo/catalog-images/toolbxLVL_2-198d84580f2.png,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,2x4x16' PT,PT2416,False,$15.99,/each,https://shop.newcanadianslumber.com/p/2x4x16-pt/PT2416,https://ik.imagekit.io/toolbx/p_1679631395621_516b17bb-4078-4703-a04b-e6d5dec3e0fe_PT2416.jpg,,,,,,,,,,,,,,,
